"service_id","monday","tuesday","wednesday","thursday","friday","saturday","sunday","start_date","end_date"
1,1,1,1,1,1,0,0,20251214,20260731
3,1,1,1,1,1,0,0,20251214,20260731
9,1,1,1,1,1,0,0,20251214,20260731
13,0,0,0,0,0,1,1,20251214,20260731
17,1,1,1,1,1,0,0,20251214,20260731
19,1,1,1,1,1,0,0,20251214,20260731
24,1,1,1,1,1,0,0,20251214,20260731
27,1,1,1,1,1,1,1,20251214,20260731
28,0,0,0,0,0,0,1,20251214,20260731
29,1,1,1,1,1,1,0,20251214,20260731
30,0,0,0,0,0,1,0,20251214,20260731
32,0,0,0,0,0,0,1,20251214,20260731
33,0,0,0,0,0,1,0,20251214,20260731
34,1,1,1,1,1,1,1,20251214,20260731
35,0,0,0,0,0,1,1,20251214,20260731
36,1,1,1,1,0,0,0,20251214,20260731
38,1,1,1,1,0,0,0,20251214,20260731
40,0,0,0,0,0,1,1,20251214,20260731
41,1,1,1,1,1,1,1,20251214,20260731
42,0,0,0,0,0,1,1,20251214,20260731
43,0,0,0,0,1,0,0,20251214,20260731
45,1,1,1,1,1,1,1,20251214,20260731
46,1,1,1,1,1,1,1,20251214,20260731
52,1,1,1,1,1,1,1,20251214,20260731
53,1,1,1,1,1,0,1,20251214,20260731
54,1,1,1,1,0,0,0,20251214,20260731
55,0,0,0,0,1,0,0,20251214,20260731
56,1,1,1,1,1,1,1,20251214,20260731
57,1,1,1,1,1,0,0,20251214,20260731
61,1,1,1,1,1,1,0,20251214,20260731
62,0,0,0,0,0,1,1,20251214,20260731
63,0,0,0,0,0,1,0,20251214,20260731
64,1,1,1,1,1,1,0,20251214,20260731
65,1,1,1,1,1,1,1,20251214,20260731
69,0,1,1,1,0,0,0,20251214,20260731
71,0,1,1,1,0,0,0,20251214,20260731
73,1,1,1,1,1,0,0,20251214,20260731
75,0,0,0,0,0,1,1,20251214,20260731
77,0,0,1,0,1,0,0,20251214,20260731
79,1,1,1,1,0,0,0,20251214,20260731
80,0,1,0,0,1,0,0,20251214,20260731
81,1,0,1,1,0,0,0,20251214,20260731
82,1,0,0,0,0,0,0,20251214,20260731
83,0,0,0,0,0,1,1,20251214,20260731
84,1,1,1,1,1,0,0,20251214,20260731
86,0,0,0,0,0,1,0,20251214,20260731
87,0,0,0,0,0,1,0,20251214,20260731
88,1,1,1,1,1,0,0,20251214,20260731
89,1,1,0,1,0,0,0,20251214,20260731
90,1,1,1,1,1,0,1,20251214,20260731
91,0,0,0,0,0,1,1,20251214,20260731
92,0,1,1,0,0,0,0,20251214,20260731
93,0,0,0,0,1,1,0,20251214,20260731
94,1,1,1,1,1,0,0,20251214,20260731
95,1,1,1,1,1,0,0,20251214,20260731
97,1,1,1,1,1,0,0,20251214,20260731
98,1,1,1,1,1,0,0,20251214,20260731
99,1,1,1,1,1,0,0,20251214,20260731
101,1,1,1,1,1,1,0,20251214,20260731
102,0,0,0,0,0,1,1,20251214,20260731
103,0,0,0,0,0,0,1,20251214,20260731
104,1,1,1,1,1,0,0,20251214,20260731
106,1,1,1,1,1,1,1,20251214,20260731
108,0,1,1,1,0,0,0,20251214,20260731
112,0,0,0,0,0,1,1,20251214,20260731
114,1,1,1,1,1,0,0,20251214,20260731
115,0,0,0,0,0,1,1,20251214,20260731
116,0,0,0,0,1,1,0,20251214,20260731
119,1,1,1,1,1,0,0,20251214,20260731
125,0,0,0,0,0,1,0,20251214,20260731
126,1,1,1,0,1,1,0,20251214,20260731
127,1,1,0,0,1,0,0,20251214,20260731
128,0,0,0,0,0,0,1,20251214,20260731
132,1,1,1,1,1,0,0,20251214,20260731
133,1,1,1,1,1,1,0,20251214,20260731
134,0,0,0,0,0,0,1,20251214,20260731
135,0,0,0,0,0,1,1,20251214,20260731
136,1,1,1,1,1,1,1,20251214,20260731
140,1,1,1,1,1,0,0,20251214,20260731
145,1,1,1,1,1,0,0,20251214,20260731
152,0,0,0,0,0,1,0,20251214,20260731
153,0,0,0,0,0,1,1,20251214,20260731
156,1,1,1,1,1,0,0,20251214,20260731
157,0,0,0,0,0,1,1,20251214,20260731
158,1,1,1,1,1,0,0,20251214,20260731
165,1,1,1,1,1,1,0,20251214,20260731
166,1,1,1,1,1,1,1,20251214,20260731
167,0,0,0,0,0,0,1,20251214,20260731
168,0,0,0,0,0,1,1,20251214,20260731
171,1,1,1,1,0,0,0,20251214,20260731
173,1,1,1,1,1,0,0,20251214,20260731
174,1,1,1,1,1,0,0,20251214,20260731
175,1,1,1,1,1,0,0,20251214,20260731
177,0,0,0,0,0,1,1,20251214,20260731
182,1,1,1,1,1,0,0,20251214,20260731
185,1,1,1,1,1,0,0,20251214,20260731
186,0,1,1,0,0,0,0,20251214,20260731
187,1,1,1,1,1,1,1,20251214,20260731
189,1,1,1,1,1,0,0,20251214,20260731
192,0,0,0,0,0,1,0,20251214,20260731
193,0,0,0,0,0,1,1,20251214,20260731
197,1,1,1,1,1,0,0,20251214,20260731
198,0,0,0,0,0,1,1,20251214,20260731
199,1,1,1,1,1,1,1,20251214,20260731
200,1,1,1,1,1,1,1,20251214,20260731
202,1,1,1,1,1,0,0,20251214,20260731
204,0,0,0,0,0,1,0,20251214,20260731
205,1,1,1,1,1,0,0,20251214,20260731
208,1,1,1,1,1,0,1,20251214,20260731
209,0,0,0,0,0,1,0,20251214,20260731
210,0,0,0,0,1,0,0,20251214,20260731
211,0,0,0,0,1,1,1,20251214,20260731
212,0,0,0,0,0,0,1,20251214,20260731
213,0,0,0,0,0,1,0,20251214,20260731
215,0,0,0,0,0,0,1,20251214,20260731
216,1,1,1,1,1,1,1,20251214,20260731
218,1,1,1,1,1,1,1,20251214,20260731
220,1,1,1,1,1,1,1,20251214,20260731
223,1,1,1,1,1,1,1,20251214,20260731
224,1,1,1,1,1,1,1,20251214,20260731
226,0,0,0,0,0,0,1,20251214,20260731
227,0,0,0,0,1,0,0,20251214,20260731
228,1,1,1,1,1,1,1,20251214,20260731
232,1,0,0,0,0,0,0,20251214,20260731
233,1,0,0,0,0,0,0,20251214,20260731
248,1,1,1,1,1,0,0,20251214,20260731
249,0,0,0,0,1,0,0,20251214,20260731
260,0,0,0,0,0,1,0,20251214,20260731
263,1,1,1,1,1,1,0,20251214,20260731
267,0,0,0,0,1,0,0,20251214,20260731
268,0,0,0,0,1,0,0,20251214,20260731
269,0,0,0,0,1,0,0,20251214,20260731
277,1,1,1,1,1,0,0,20251214,20260731
279,0,0,0,0,0,0,1,20251214,20260731
284,0,0,0,0,0,1,0,20251214,20260731
285,0,0,0,0,0,1,0,20251214,20260731
286,1,1,1,1,1,0,0,20251214,20260731
287,0,0,0,0,0,1,0,20251214,20260731
288,0,0,0,0,0,1,0,20251214,20260731
289,0,0,0,0,0,1,0,20251214,20260731
290,0,0,0,0,0,0,1,20251214,20260731
292,0,1,0,0,0,0,0,20251214,20260731
293,0,0,0,0,0,1,1,20251214,20260731
294,0,1,0,0,0,0,0,20251214,20260731
295,1,1,1,1,1,0,0,20251214,20260731
300,0,0,0,0,0,1,1,20251214,20260731
303,1,1,1,1,1,0,0,20251214,20260731
304,0,0,0,0,0,1,0,20251214,20260731
307,0,0,0,0,1,1,0,20251214,20260731
308,1,1,1,1,1,1,1,20251214,20260731
309,1,1,1,1,1,1,1,20251214,20260731
310,0,0,0,0,0,0,1,20251214,20260731
315,0,0,0,0,0,1,0,20251214,20260731
318,0,0,0,0,1,1,0,20251214,20260731
320,1,1,1,1,1,0,1,20251214,20260731
326,0,0,0,0,0,1,0,20251214,20260731
327,1,1,1,0,1,0,0,20251214,20260731
338,1,1,1,1,1,0,0,20251214,20260731
340,0,0,0,0,0,1,0,20251214,20260731
341,1,1,1,1,1,0,0,20251214,20260731
343,1,1,1,1,1,0,0,20251214,20260731
344,1,1,1,1,1,1,0,20251214,20260731
345,1,1,1,1,1,1,0,20251214,20260731
346,0,0,0,0,0,0,1,20251214,20260731
348,1,1,1,1,1,1,1,20251214,20260731
349,1,1,1,1,1,1,1,20251214,20260731
350,1,1,1,1,1,1,0,20251214,20260731
352,1,1,1,1,1,0,0,20251214,20260731
354,1,1,1,1,1,0,0,20251214,20260731
356,1,1,1,1,1,0,0,20251214,20260731
357,1,1,1,1,1,1,0,20251214,20260731
358,1,1,1,1,1,1,0,20251214,20260731
359,1,1,1,1,1,0,0,20251214,20260731
360,1,1,1,1,1,1,1,20251214,20260731
361,1,1,1,1,1,1,1,20251214,20260731
362,1,1,1,1,1,1,0,20251214,20260731
363,0,0,0,0,1,1,0,20251214,20260731
365,0,0,0,0,1,0,0,20251214,20260731
366,1,1,1,1,0,0,0,20251214,20260731
367,1,1,1,1,1,1,0,20251214,20260731
370,1,1,1,1,1,1,0,20251214,20260731
371,0,0,0,0,0,0,1,20251214,20260731
372,0,0,0,0,0,0,1,20251214,20260731
373,0,0,0,0,0,1,1,20251214,20260731
374,1,1,1,1,1,1,0,20251214,20260731
382,1,1,1,1,1,1,0,20251214,20260731
383,0,0,0,0,0,1,0,20251214,20260731
385,1,1,1,1,0,0,1,20251214,20260731
387,0,0,0,0,1,0,0,20251214,20260731
390,0,0,0,0,0,1,0,20251214,20260731
391,1,1,1,1,1,1,0,20251214,20260731
392,1,1,1,1,1,0,0,20251214,20260731
393,1,1,1,1,1,1,1,20251214,20260731
394,1,1,1,0,1,0,0,20251214,20260731
396,1,1,1,1,1,1,0,20251214,20260731
397,1,1,1,0,1,1,0,20251214,20260731
398,1,1,1,1,1,0,0,20251214,20260731
399,1,1,1,1,1,1,1,20251214,20260731
400,1,1,1,1,1,0,0,20251214,20260731
401,1,1,1,1,1,1,1,20251214,20260731
406,1,1,1,1,1,0,0,20251214,20260731
408,1,1,1,1,1,1,0,20251214,20260731
410,1,1,1,1,1,1,1,20251214,20260731
412,1,1,1,1,1,1,0,20251214,20260731
414,0,0,0,0,1,1,0,20251214,20260731
415,1,1,1,1,1,1,0,20251214,20260731
416,1,1,1,1,1,1,1,20251214,20260731
