stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,location_type,parent_station,wheelchair_boarding,platform_code,stop_url
de:06633:203281::B,,Fuldatal-Ihringshausen Bahnhof/Weddel,,51.346838,9.523598,0,de:06633:203281PARENT,0,,https://haltestellen.nvv.de/hms-nvv/detailspage?dhid=de:06633:203281::B
de:06633:203292::B,,Fuldatal-Ihringshausen Stockbreite,,51.343974,9.52099,0,de:06633:203292PARENT,0,,https://haltestellen.nvv.de/hms-nvv/detailspage?dhid=de:06633:203292::B
de:06633:203293::A,,Fuldatal-Ihringshausen Gesamtschule,,51.356326,9.534366,0,de:06633:203293PARENT,0,A,https://haltestellen.nvv.de/hms-nvv/detailspage?dhid=de:06633:203293::A
de:06633:203858::A,,Vellmar-Niedervellmar Festplatz,,51.357511,9.467494,0,de:06633:203858PARENT,0,A,https://haltestellen.nvv.de/hms-nvv/detailspage?dhid=de:06633:203858::A
de:06633:203858::B,,Vellmar-Niedervellmar Festplatz,,51.357654,9.467726,0,de:06633:203858PARENT,0,B,https://haltestellen.nvv.de/hms-nvv/detailspage?dhid=de:06633:203858::B
de:06633:203837::A,,Vellmar Stadtmitte,,51.360963,9.469391,0,de:06633:203837PARENT,0,A,https://haltestellen.nvv.de/hms-nvv/detailspage?dhid=de:06633:203837::A
de:06611:200011::C,,Kassel Ihringshäuser Straße,,51.339204,9.517358,0,de:06611:200011PARENT,0,C,https://haltestellen.nvv.de/hms-nvv/detailspage?dhid=de:06611:200011::C
de:06633:203282::B,,Fuldatal-Ihringshausen Kirche,,51.351742,9.526562,0,de:06633:203282PARENT,0,B,https://haltestellen.nvv.de/hms-nvv/detailspage?dhid=de:06633:203282::B
de:06611:200283::A,,Kassel Rasenallee,,51.331155,9.413062,0,de:06611:200283PARENT,0,,https://haltestellen.nvv.de/hms-nvv/detailspage?dhid=de:06611:200283::A
de:06611:200282::A,,Kassel Sonnenhang,,51.335025,9.414646,0,de:06611:200282PARENT,0,A,https://haltestellen.nvv.de/hms-nvv/detailspage?dhid=de:06611:200282::A
de:06611:200281::A,,Kassel Felix-Blumenfeld-Straße,,51.335043,9.417968,0,de:06611:200281PARENT,0,A,https://haltestellen.nvv.de/hms-nvv/detailspage?dhid=de:06611:200281::A
de:06611:200280::A,,Kassel Seebergstraße,,51.333556,9.423257,0,de:06611:200280PARENT,0,A,https://haltestellen.nvv.de/hms-nvv/detailspage?dhid=de:06611:200280::A
de:06611:200279::A,,Kassel Lerchenfeldstraße,,51.333256,9.426642,0,de:06611:200279PARENT,0,,https://haltestellen.nvv.de/hms-nvv/detailspage?dhid=de:06611:200279::A
de:06611:200278::A,,Kassel Wilhelmshöher Weg,,51.33348,9.432784,0,de:06611:200278PARENT,0,,https://haltestellen.nvv.de/hms-nvv/detailspage?dhid=de:06611:200278::A
de:06611:200277::C,,Kassel Harleshausen Mitte,,51.336813,9.433687,0,de:06611:200277PARENT,0,C,https://haltestellen.nvv.de/hms-nvv/detailspage?dhid=de:06611:200277::C
de:06611:200276::A,,Kassel Karlshafener Straße,,51.33643,9.43974,0,de:06611:200276PARENT,0,,https://haltestellen.nvv.de/hms-nvv/detailspage?dhid=de:06611:200276::A
de:06611:200261::C,,Kassel Ahnatalstraße,,51.334223,9.44062,0,de:06611:200261PARENT,0,C,https://haltestellen.nvv.de/hms-nvv/detailspage?dhid=de:06611:200261::C
